AAPL,141.59,08-07-2021
AENZAC1,1.38,08-07-2021
AGG,116.2,08-07-2021
ALICORC1,0.0,08-07-2021
ALICORI1,4.7,08-07-2021
ALT,0.0,05-07-2021
AMZN,3733.4,08-07-2021
ARKK,123.08,08-07-2021
ATACOBC1,0.0,05-07-2021
AUSTRAC1,0.0,06-07-2021
BA,231.99,08-07-2021
BACKUSI1,19.0,08-07-2021
BAP,118.16,08-07-2021
BBVAC1,1.9,08-07-2021
BIDU,175.47,08-07-2021
BROCALC1,0.0,08-07-2021
BROCALI1,2.8,05-07-2021
BVN,8.46,08-07-2021
C,66.97,08-07-2021
CMG,1564.51,06-07-2021
CONCESI1,3.1,05-07-2021
CORAREI1,1.08,08-07-2021
CPACASC1,4.95,08-07-2021
CREDITC1,2.2,08-07-2021
CRM,248.64,06-07-2021
CVERDEC1,16.5,08-07-2021
DIA,342.49,08-07-2021
DIS,173.5,08-07-2021
DUST,19.57,08-07-2021
ENDISPC1,0.0,05-07-2021
ENGEPEC1,2.05,06-07-2021
ENGIEC1,6.08,08-07-2021
EXALMC1,1.3,06-07-2021
FB,353.0,06-07-2021
FCX,34.99,08-07-2021
FDX,294.1,06-07-2021
FERREYC1,1.65,08-07-2021
FXI,43.1,08-07-2021
GDX,33.62,08-07-2021
GLD,168.56,08-07-2021
GLORIAI1,0.0,08-07-2021
GOOG,2577.0,06-07-2021
HBM,6.47,08-07-2021
HIDRA2C1,1.2,08-07-2021
IFS,23.63,08-07-2021
INRETC1,36.99,08-07-2021
INTC,56.0,06-07-2021
INTERBC1,3.09,08-07-2021
LQDA,6.47,08-07-2021
LUSURC1,11.05,08-07-2021
MA,371.1,06-07-2021
MINCORI1,20.0,08-07-2021
MINSURI1,2.39,08-07-2021
MOROCOI1,0.7,08-07-2021
MSFT,277.0,08-07-2021
NEXAPEC1,2.95,08-07-2021
NFLX,534.05,06-07-2021
NKE,160.0,06-07-2021
NUGT,56.75,08-07-2021
NVDA,793.5,08-07-2021
OIH,214.48,06-07-2021
PEJ,51.48,06-07-2021
PODERC1,0.0,05-07-2021
PYPL,291.0,08-07-2021
QQQ,355.66,08-07-2021
RELAPAC1,0.155,08-07-2021
SBUX,114.4,06-07-2021
SCCO,62.0,06-07-2021
SHPC1,25.0,08-07-2021
SIDERC1,0.0,08-07-2021
SLV,24.62,06-07-2021
SPY,432.0,08-07-2021
TEF,0.0,06-07-2021
TMO,516.1,06-07-2021
TSLA,680.0,05-07-2021
TV,0.18,08-07-2021
UNACEMC1,1.28,08-07-2021
V,235.55,08-07-2021
VOLCABC1,0.482,08-07-2021
XLK,149.55,08-07-2021
XOM,60.73,08-07-2021
ZM,383.1,08-07-2021
